,RELACION DE CALLES DE LAS INSTALACIONES DE LA FERIA DE COLIMA,,,,,,,
,,,,,,,,
,No_Calle,Nombre,Cantidad,Local_Metros,Precio,Ubicación,Rentados,Disponibles
,51,"La Abarrada, Sur (Modulos de 5 x 10 mts)",5,Modulos,"12,867.08",1  - 5,0,5
,52,Banquetas Costado Ganadera (6 x 14.70  mts) ,4,Metros,"13,780.12",1  - 4,0,4
,53,"Modulo Exposicion Agricola 1,083 m2.",1,Metros,"70,000.00",1-1,,1
,54,Modulo 3 (Esquinas de 5 x 6 mts),2,Modulos,"12,978.50",1  - 2,0,2
,55,Modulo 3 (Espacios Intermedios de 5 x 6 mts.),3,Modulos,"11,287.26",1  - 3,0,3
,56,Mod. 3 Especiales (Esquinas 5 x 6 mts.),2,Modulos,"7,888.15",1  - 2,0,2
,57,Mod. 3 Especiales (Esp Intermedios 5 x 6 mts.),3,Modulos,"7,099.36",1  - 3,0,3
,58,Modulo 4 (Esquinas de 5 x 6 mts),4,Modulos,"7,888.15",1  - 4,0,4
,59,Modulo 4 (Espacios Intermedios de 5 x 6 mts.),6,Modulos,"7,099.36",1  - 6,0,6
,60,"Baños - Regaderas - Lavaderos, Buena Vista, Ote.",1,Modulos,"23,861.65",1  - 1,0,1
,61,"Buena Vista, Poniente ",29,Metros,"1,038.08",1  - 29,0,29
,62,And. Hacia Ganadera Esq. Esq. Buena Vista Poniente  ,17,Metros,"1,038.08",1  - 17,0,17
,63,Banqueta 1 (3 x 29 mts) Hacia Ganadera,29,Metros,753.11,1  - 29,,29
,64,Banqueta 2 (6 x 29 mts) Hacia Ganadera,58,Metros,753.11,1-58,0,58
,65,Banqueta 3 (6 x 29 mts) Hacia Ganadera,58,Metros,753.11,1-58,0,58
,66,Banqueta 4 (6 x 29 mts) Hacia Ganadera,58,Metros,753.11,1-58,0,58
,67,"Nuevo Chanal, Acera Sur (Mts. Libres)",103,Metros,"1,038.08",1  - 103,0,103
,68,"Nuevo Chanal, Acera Norte",56,Metros,"1,038.08",1  - 56,0,56
,69,"Baños - Regaderas, Calle El Chanal, Norte",1,Modulos,"19,252.57",1  - 1,0,1
,70,"Bueva Vista, Ote. Junto Entrada Bodega",3,Metros,"1,038.08",1  - 3,0,3
,71,"Buena Vista Esq. Chanal, Norte Junto Bodega",5,Metros,"1,038.08",1-5,0,5
,72,"Modulos Buena Vista, Ote. (Esquinas 3 x 3 mts)",2,Modulos,"5,281.63",1  - 2,0,2
,73,"Modulos Buena Vista, Ote (Intermedios 3 x 3 mts)",3,Modulos,"4,555.41",1  - 3,0,3
,74,"Modulos Buena Vista, Andador ESQUINAS (3 x 3 mts)",2,Modulos,"2,198.48",1  - 2,0,2
,75,"Modulos Buena Vista, Andador INTERMEDIOS (3 x 3 mts)",3,Modulos,"1,868.71",1  - 3,0,3
,76,"Buena Vista, Oriente (Mts. Libres)",37,Metros,"1,038.08",1  - 37,0,37
,77,"Plaza del Teatro, Esp. Especial (8 x 16 x 8 mts.)",1,Modulos,"40,611.96",1  - 1,0,1
,78,"Plaza del Teatro, Poniente ",4,Metros,"1,038.08",1  - 4,0,4
,79,"Graderio Teatro del Pueblo, Pte. y Espacio Adjunto",1,Modulos,"15,761.01",1  - 1,0,1
,80,"Baños, Graderio Teatro del Pueblo",1,Modulos,"20,190.63",1  - 1,0,1
,81,"Plaza del Teatro, Graderio (Mod. 4 x 6 mts.)",2,Modulos,"6,443.50",1  - 2,0,2
,82,Local Esq. Los Amiales y Playa Santiago (4.80 x 5. 5 mts.),1,Modulos,"11,898.75",1  - 1,0,1
,83,"Modulo de 4.80 x 5.50 mts Los Amiales, Poniente",1,Modulos,"9,734.89",1  - 1,0,1
,84,"Los Amiales, Poniente (Mts. Libres)",31,Metros,"1,038.08",1  - 31,0,31
,85,"Modulos Los Amiales, ESQUINAS (3 x 3 mts)",2,Modulos,"5,281.63",1  - 2,0,2
,86,"Modulos Los Amiales, INTERMEDIOS (3 x 3 mts)",4,Modulos,"4,555.41",1  - 4,0,4
,87,"Modulos Los Amiales, Andador ESQUINAS (3 x 3 mts)",2,Modulos,"2,198.48",1  - 2,0,2
,88,"Modulos Los Amiales, Andador INTERMEDIOS (3 x 3 mts)",4,Modulos,"1,868.71",1  - 4,0,4
,89,"El Chanal, Sur 1ra. Cuadra (Metros Libres)",27,Metros,"1,038.08",1 - 28,,28
,90,"El Chanal, Sur 2da. Cuadra (Metros Libres)",70,Metros,"1,038.08",1 - 70,0,70
,91,"El Chanal, Norte",33,Metros,"1,038.08",1  - 33,0,33
,92,"El Chanal, Nte. Area Nuevo Pueblito (Esp. de 19 x 25.50 mts 485 m2 )",1,Modulos,"61,226.80",1-1,0,1
,93,"El Chanal, Nte. Playa Sol (11 x 26 mts 286 m2 )",1,Modulos,"17,939.45",1-1,0,1
,94,"Restaurante El Pueblito (26 x 47 mts 1,222 m2)",1,Modulos,"154,266.30",1  - 1,0,1
,95,"Salsipuedes, Poniente (Mts. Libres)",14,Metros,"1,038.08",1  - 14,0,14
,96,"Area  Juegos Mecanicos 17,000 m2.",1,Modulos,"1,845,973.34",1  - 1,0,1
,97,"Baños, Area Juegos Mecanicos",1,Modulos,"15,780.79",1  - 1,0,1
,98,"El Rodeo, Norte 1ra Cuadra (Mod. 4 x 8 mts)",16,Modulos,"6,524.57",1  - 16,0,16
,99,"El Rodeo, Norte 2da. Cuadra (Mod. 4 x 8 mts.)",10,Modulos,"4,324.53",1  - 10,0,10
,100,"El Rodeo, Centro (Mts. Libres 1.5 Ancho)",49,Metros,571.42,1  - 49,0,49
,101,"Baños, El Rodeo, Sur Junto Cenadurias",1,Metros,"15,780.79",1  - 1,0,1
,102,"El Rodeo, Acera Sur 1ra. Cuadra (Mod. 4 x 8 Mts)",16,Modulos,"6,524.57",1  - 16,0,16
,103,Pasillo Salida Estac. Entre Cenadurias No. 6 y 7,4,Metros,"1,038.08",1  - 4,0,4
,104,"El Rodeo, Sur 2da. Cuadra (Mod. 4 x 8 mts.)",10,Metros,"4,324.53",1  - 10,0,10
,105,"El Rodeo, Sur (Metros Libres)",77,Metros,"1,038.08",1  - 77,0,77
,106,"Baños, Calle El Rodeo, Sur (Espaldas Casino Feria)",1,Modulos,"20,190.63",1  - 1,0,1
,107,"El Rodeo, Norte (Metros Libres)",21,Metros,"1,038.08",1  - 21,0,21
,108,"Los Aguajes, Poniente (Metros Libres)",35,Metros,"1,038.08",1  - 35,0,35
,109,"Los Aguajes, Oriente (Metros Libres)",4,Metros,"1,038.08",1  - 4,0,4
,110,Restaurantes Modulo 1 (7.80 x 14.20 110 m2),1,Modulos,"16,368.62",1  - 1,0,1
,111,Restaurantes Modulo 2 (11.40 x 14.20  161 m2),1,Modulos,"23,930.21",1  - 1,0,1
,112,Restaurantes Modulo 3 (15.20 x 14.20 mts.  215 m2),1,Modulos,"31,907.43",1  - 1,0,1
,113,"Restaurantes Modulo 4 (55 x 29 mts 1,595 m2)",1,Modulos,"235,787.11",1  - 1,0,1
,114,"El Chupadero, Acera Sur",5,Metros,"1,038.08",1  - 5,0,5
,115,Restaurantes Modulo 5 (20 x 29 Mts 580 m2),1,Modulos,"85,514.69",1  - 1,0,1
,116,Restaurante Modulo 6 (23 x 34 mts 782 m2),1,Modulos,"157,738.22",1  - 1,0,1
,117,Restaurante  Modulo 7 (684  M2),1,Modulos,"100,848.35",1  - 1,0,1
,118,Kiosco Central Plaza Don Arturo,1,Modulos,"16,825.53",1  - 1,0,1
,119,"Plaza Don Arturo, Centro Mod. de  4 x 4 m Semifijos",4,Modulos,"3,140.32",1  - 4,0,4
,120,Plaza Don Arturo Costado Restaurante Modulo 7 (4 x16  64 m2),1,Modulos,"17,313.04",1,0,1
,121,Modulo 10 (Esquinas de 5 x 6 mts),4,Modulos,"12,978.50",1  - 4,0,4
,122,Modulo 10 (Espacios Intermedios de 5 x 6 mts),4,Modulos,"11,286.98",1  - 4,0,4
,123,Modulo 9 (Esquinas de 5 x 6 mts),4,Modulos,"12,978.50",1  - 4,0,4
,124,Modulo 9 (Espacios Intermedios de 5 x 6 mts),4,Modulos,"11,286.98",1  - 4,0,4
,125,Modulo 8 (Esquinas de 5 x 6 mts.),3,Modulos,"12,978.50",1  - 3,0,3
,126,Modulo 8 (Espacios Intermedios de 5 x 6 mts),2,Modulos,"11,286.98",1  - 2,0,2
,127,Mod. 8 Especiales (Esquinas 5 x 6 mts.),1,Modulos,"7,888.15",1-1,0,1
,128,Mod. 8 Especiales (Esp Intermedios 5 x 6 mts.),2,Modulos,"7,099.36",1-2,0,2
,129,Modulo 7 (Esquinas de 5 x 6 mts.),2,Modulos,"12,978.50",1  - 2,0,2
,130,Modulo 7 (Espacios Intermedios de 5 x 6 mts),2,Modulos,"11,286.98",1  - 2,0,2
,131,Mod. 7 Especiales (Esquinas 5 x 6 mts.),2,Modulos,"7,888.15",1-2,0,2
,132,Mod. 7 Especiales (Esp Intermedios 5 x 6 mts.),2,Modulos,"7,099.36",1-2,0,2
,133,Modulo 6 (Esquinas de 5 x 6 mts),4,Modulos,"12,978.50",1  - 4,0,4
,134,Modulo 6 (Espacios Intermedios de 5 x 6 mts),4,Modulos,"11,286.98",1  - 4,0,4
,135,Modulo 5 (Esquinas de 5 x 6 mts),4,Modulos,"12,978.50",1  - 4,0,4
,136,Modulo 5 (Espacios Intermedios de 5 x 6 mts),4,Modulos,"11,286.98",1  - 4,0,4
,137,Plaza El Rodeo (Esquinas 4 x 4 mts),2,Modulos,"9,110.81",1  - 2,0,2
,138,Plaza el Rodeo (Espacios Intermedios 4 x 4 mts),8,Modulos,"5,964.47",1  - 8,0,8
,139,"Jardin Costado Oficinas por El Rode, Sur",3,Metros,"1,224.69",1-4,0,4
,140,Modulo Empresarial (Mod. 3 x 3 mts),80,Modulos,"7,720.20",1  - 80,0,80
,141,"La Audiencia, Oriente (22 X 4  88 M2)",1,Modulos,"26,999.19",1  - 1,0,1
,142,"La Audiencia, Oriente (Mod. de 3 x 3 mts)",15,Modulos,"5,162.79",1  - 15,0,15
,143,"La Audiencia, Oriente Junto Cruz Roja",8,Metros,"1,038.35",1  - 8,0,8
,144,"Baños, en Calle La Audiencia, Oriente",1,Modulos,"20,190.63",1  - 1,0,1
